TBCREATOR,TBNAME,TNAME,NAME,COLTYPE,COLUMN_LENGTH
DA73,TD784_GABM_CMPGN,GABM_CMPGN,CMPGN_ID,CHAR _ ,25
DA73,TD784_GABM_CMPGN,GABM_CMPGN,CMPGN_NM,CHAR __,100
DA73,1D784_GABM_CMPGN,GABM_CMPGN,CMPGN_DS,VARCHAR ,400
DA73,TD784_GABM_CMPGN,GABM_CMPGN,CMPGN_PROMO_CD,CHAR_ 64
DA73,TD784_GABM_CMPGN,GABM_CMPGN,CMPGN_STA_TX,CHAR _,10
DA73,TD784_GABM_CMPGN,GABM_CMPGN,CREAT_TS, TIMESTMP, 10
DA73,TD784_GABM_CMPGN,GABM_CMPGN,LST_UPDT_TS,TIMESTMP,10
DA73,1D784_GABM_CMPGN,GABM_CMPGN,CMPGN_CONTEST_MAX_ENTER_CT,SMALLINT,2
DA73,TD784_GABM_CMPGN,GABM_CMPGN,CMPGN_TRGT_REGIS_CT,INTEGER ,4
DA73,TD784_GABM_CMPGN,GABM_CMPGN,BUS_PRTR_DRCT_OWN_NM,CHAR 50
DA73,1D784_GABM_CMPGN,GABM_CMPGN,CMPGN_STRT_DT,DATE 4
DA73,TD784_GABM_CMPGN,GABM_CMPGN,CMPGN_END_DT,DATE 4
DA73,TD784_GABM_CMPGN,GABM_CMPGN,DA_PRG_DT,DATE _,4
DA73,TD784_GABM_CMPGN,GABM_CMPGN,CREAT_BY_USER_TYPE_TX,CHAR  ,10
DA73,1D784_GABM_CMPGN,GABM_CMPGN,UPDT_BY_USER_TYPE_TX,CHAR  ,10
DA73,TD784_GABM_CMPGN,GABM_CMPGN,ENROLL_SUC_EMAIL_SEND_IN,CHAR  ,1
DA73,TD784_GABM_CMPGN,GABM_CMPGN,ENROLL_SUC_EMAIL_TMPLT_ID,CHAR  ,20
DA73,TD784_GABM_CMPGN,GABM_CMPGN,ENROLL_STA_EMAIL_SEND_IN,CHAR  ,1
DA73,TD784_GABM_CMPGN,GABM_CMPGN,ENROLL_STA_EMAIL_TMPLT_ID,CHAR  ,20
DA73,1D784_GABM_CMPGN,GABM_CMPGN,CMPGN_IM_URL_AD_TX,CHAR 254
DA73,TD784_GABM_CMPGN,GABM_CMPGN,EMS_EXTNL_PROMO_ID,CHAR 64
DA73,TD784_GABM_CMPGN,GABM_CMPGN,EMS_EXTNL_PRTR_ID,CHAR ,64
DA73,TD784_GABM_CMPGN,GABM_CMPGN,CMPGN_LIVE_DT,DATE 4
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,AUD_CREAT_TS,TIMESTMP, 10
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,CMPGN_ID,CHAR  ,25
DA73,TI241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,CMPGN_NM,CHAR 100
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,CMPGN_DS, VARCHAR ,400
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,CMPGN_PROMO_CD,CHAR__,64
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,CMPGN_STA_TX,CHAR _ 10
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,CREAT_TS,TIMESTMP, 10
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,LST_UPDT_TS,TIMESTMP,10
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,CMPGN_CONTEST_MAX_ENTER_CT,SMALLINT,2
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,CMPGN_TRGT_REGIS_CT,INTEGER ,4
DA73,1I241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,BUS_PRTR_DRCT_OWN_NM,CHAR  ,50
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,CMPGN_STRT_DT,DATE ,4
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,CMPGN_END_DT,DATE 4
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,DA_PRG_DT,DATE 4
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,CREAT_BY_USER_TYPE_TX,CHAR  ,10
DA73,TI241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,UPDT_BY_USER_TYPE_TX,CHAR ,10
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,ENROLL_SUC_EMAIL_SEND_IN,CHAR 1
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,ENROLL_SUC_EMAIL_TMPLT_ID,CHAR  ,20
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,ENROLL_STA_EMAIL_SEND_iN,CHAR 1
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,ENROLL_STA_EMAIL_TMPLT_ID,CHAR ,20
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,CMPGN_IM_URL_AD_TX,CHAR 254
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,EMS_EXTNL_PROMO_ID,CHAR _,64
DA73,T1241_GABM_CMPGN_AUD,GABM_CMPGN_AUD,EMS_EXTNL_PRTR_ID,CHAR 64
